ID,State,Weather_Condition,Road_Condition,Sunrise_Sunset,Severity,Start_Time
1,TX,Fog,Dry,Day,3,2024-01-01 09:00
2,NY,Clear,Ice,Night,3,2024-01-01 10:00
3,CA,Cloudy,Dry,Day,4,2024-01-01 11:00
4,FL,Cloudy,Dry,Night,3,2024-01-01 12:00
5,CA,Cloudy,Dry,Day,3,2024-01-01 13:00
6,NY,Rain,Ice,Night,2,2024-01-01 14:00
7,TX,Rain,Dry,Day,2,2024-01-01 15:00
8,NY,Fog,Wet,Day,3,2024-01-01 16:00
9,CA,Cloudy,Dry,Day,4,2024-01-01 17:00
10,TX,Cloudy,Ice,Day,3,2024-01-01 18:00
11,CA,Fog,Ice,Day,2,2024-01-01 19:00
12,WA,Cloudy,Dry,Night,1,2024-01-01 20:00
13,NY,Cloudy,Ice,Night,4,2024-01-01 21:00
14,TX,Fog,Ice,Night,1,2024-01-01 22:00
15,TX,Cloudy,Ice,Day,3,2024-01-01 23:00
16,WA,Rain,Ice,Night,3,2024-01-02 00:00
17,TX,Cloudy,Dry,Night,2,2024-01-02 01:00
18,NY,Fog,Dry,Day,2,2024-01-02 02:00
19,FL,Rain,Ice,Night,4,2024-01-02 03:00
20,WA,Rain,Ice,Night,4,2024-01-02 04:00
21,TX,Fog,Dry,Night,1,2024-01-02 05:00
22,NY,Rain,Ice,Night,4,2024-01-02 06:00
23,FL,Clear,Ice,Night,3,2024-01-02 07:00
24,WA,Snow,Dry,Day,2,2024-01-02 08:00
25,NY,Clear,Dry,Night,2,2024-01-02 09:00
26,TX,Rain,Dry,Day,4,2024-01-02 10:00
27,TX,Rain,Dry,Day,2,2024-01-02 11:00
28,CA,Fog,Dry,Night,4,2024-01-02 12:00
29,CA,Rain,Dry,Night,4,2024-01-02 13:00
30,CA,Clear,Wet,Day,3,2024-01-02 14:00
31,FL,Fog,Wet,Night,3,2024-01-02 15:00
32,TX,Snow,Wet,Night,2,2024-01-02 16:00
33,CA,Snow,Dry,Day,1,2024-01-02 17:00
34,FL,Fog,Wet,Day,3,2024-01-02 18:00
35,NY,Rain,Dry,Day,1,2024-01-02 19:00
36,NY,Cloudy,Wet,Day,4,2024-01-02 20:00
37,FL,Rain,Wet,Night,3,2024-01-02 21:00
38,TX,Fog,Dry,Day,3,2024-01-02 22:00
39,NY,Clear,Wet,Day,2,2024-01-02 23:00
40,NY,Fog,Dry,Day,1,2024-01-03 00:00
41,WA,Cloudy,Dry,Night,4,2024-01-03 01:00
42,FL,Cloudy,Dry,Night,4,2024-01-03 02:00
43,CA,Fog,Wet,Day,1,2024-01-03 03:00
44,FL,Clear,Ice,Day,4,2024-01-03 04:00
45,FL,Clear,Wet,Night,4,2024-01-03 05:00
46,TX,Snow,Ice,Day,1,2024-01-03 06:00
47,NY,Rain,Wet,Day,2,2024-01-03 07:00
48,NY,Cloudy,Ice,Night,1,2024-01-03 08:00
49,FL,Rain,Ice,Day,2,2024-01-03 09:00
50,WA,Rain,Wet,Day,4,2024-01-03 10:00
51,WA,Clear,Wet,Night,1,2024-01-03 11:00
52,WA,Rain,Wet,Day,4,2024-01-03 12:00
53,WA,Snow,Dry,Day,4,2024-01-03 13:00
54,NY,Clear,Wet,Day,1,2024-01-03 14:00
55,FL,Clear,Dry,Night,3,2024-01-03 15:00
56,CA,Rain,Dry,Day,4,2024-01-03 16:00
57,FL,Snow,Wet,Day,4,2024-01-03 17:00
58,CA,Clear,Wet,Night,3,2024-01-03 18:00
59,TX,Snow,Wet,Day,1,2024-01-03 19:00
60,TX,Rain,Dry,Night,3,2024-01-03 20:00
61,TX,Snow,Ice,Day,2,2024-01-03 21:00
